date,A_YLD_1,rf_rate_annualized,r
2021-01-21,0.071,0.0007099999999999999,0.000709748069240162
2021-01-22,0.071,0.0007099999999999999,0.000709748069240162
2021-01-25,0.0659,0.000659,0.0006587829548498997
2021-01-26,0.0684,0.000684,0.0006837661786163826
2021-01-27,0.0608,0.000608,0.0006078152428843663
2021-01-28,0.0532,0.0005319999999999999,0.0005318585381695491
2021-01-29,0.0482,0.000482,0.0004818838753133277
2021-02-01,0.0456,0.000456,0.00045589606359547856
2021-02-02,0.0507,0.0005070000000000001,0.0005068715189248044
2021-02-03,0.0406,0.00040599999999999995,0.0004059176043009213
2021-02-04,0.0279,0.000279,0.00027896108673761675
2021-02-05,0.0203,0.00020299999999999997,0.0002029793982880044
2021-02-08,0.0228,0.000228,0.00022797401195000352
2021-02-09,0.033,0.00033,0.00032994556197597747
2021-02-10,0.0355,0.00035499999999999996,0.0003549370024090941
2021-02-11,0.0355,0.00035499999999999996,0.0003549370024090941
2021-02-12,0.0355,0.00035499999999999996,0.0003549370024090941
2021-02-15,0.0355,0.00035499999999999996,0.0003549370024090941
2021-02-16,0.0355,0.00035499999999999996,0.0003549370024090941
2021-02-17,0.0355,0.00035499999999999996,0.0003549370024090941
2021-02-18,0.0279,0.000279,0.00027896108673761675
2021-02-19,0.0228,0.000228,0.00022797401195000352
2021-02-22,0.0228,0.000228,0.00022797401195000352
2021-02-23,0.0253,0.00025299999999999997,0.00025296800089712694
2021-02-24,0.0304,0.000304,0.0003039538013627686
2021-02-25,0.033,0.00033,0.00032994556197597747
2021-02-26,0.033,0.00033,0.00032994556197597747
2021-03-01,0.0279,0.000279,0.00027896108673761675
2021-03-02,0.0355,0.00035499999999999996,0.0003549370024090941
2021-03-03,0.0355,0.00035499999999999996,0.0003549370024090941
2021-03-04,0.0279,0.000279,0.00027896108673761675
2021-03-05,0.0279,0.000279,0.00027896108673761675
2021-03-08,0.033,0.00033,0.00032994556197597747
2021-03-09,0.0355,0.00035499999999999996,0.0003549370024090941
2021-03-10,0.0304,0.000304,0.0003039538013627686
2021-03-11,0.0279,0.000279,0.00027896108673761675
2021-03-12,0.0228,0.000228,0.00022797401195000352
2021-03-15,0.0127,0.000127,0.00012699193618271755
2021-03-16,0.0101,0.000101,0.00010099489984331438
2021-03-17,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2021-03-18,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2021-03-19,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2021-03-22,0.0,0.0,0.0
2021-03-23,0.0152,0.000152,0.0001519884491703992
2021-03-24,0.0152,0.000152,0.0001519884491703992
2021-03-25,0.0152,0.000152,0.0001519884491703992
2021-03-26,0.0152,0.000152,0.0001519884491703992
2021-03-29,0.0076,7.6e-05,7.599711214628198e-05
2021-03-30,0.0127,0.000127,0.00012699193618271755
2021-03-31,0.0127,0.000127,0.00012699193618271755
2021-04-01,0.0101,0.000101,0.00010099489984331438
2021-04-02,0.0101,0.000101,0.00010099489984331438
2021-04-05,0.0127,0.000127,0.00012699193618271755
2021-04-06,0.0152,0.000152,0.0001519884491703992
2021-04-07,0.0101,0.000101,0.00010099489984331438
2021-04-08,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2021-04-09,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2021-04-12,0.0076,7.6e-05,7.599711214628198e-05
2021-04-13,0.0152,0.000152,0.0001519884491703992
2021-04-14,0.0152,0.000152,0.0001519884491703992
2021-04-15,0.0076,7.6e-05,7.599711214628198e-05
2021-04-16,0.0076,7.6e-05,7.599711214628198e-05
2021-04-19,0.0152,0.000152,0.0001519884491703992
2021-04-20,0.0152,0.000152,0.0001519884491703992
2021-04-21,0.0152,0.000152,0.0001519884491703992
2021-04-22,0.0127,0.000127,0.00012699193618271755
2021-04-23,0.0127,0.000127,0.00012699193618271755
2021-04-26,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2021-04-27,0.0076,7.6e-05,7.599711214628198e-05
2021-04-28,0.0076,7.6e-05,7.599711214628198e-05
2021-04-29,0.0025,2.5e-05,2.4999687505149974e-05
2021-04-30,0.0025,2.5e-05,2.4999687505149974e-05
2021-05-03,0.0025,2.5e-05,2.4999687505149974e-05
2021-05-04,0.0101,0.000101,0.00010099489984331438
2021-05-05,0.0076,7.6e-05,7.599711214628198e-05
2021-05-06,0.0076,7.6e-05,7.599711214628198e-05
2021-05-07,0.0076,7.6e-05,7.599711214628198e-05
2021-05-10,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2021-05-11,0.0101,0.000101,0.00010099489984331438
2021-05-12,0.0101,0.000101,0.00010099489984331438
2021-05-13,0.0076,7.6e-05,7.599711214628198e-05
2021-05-14,0.0025,2.5e-05,2.4999687505149974e-05
2021-05-17,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2021-05-18,0.0101,0.000101,0.00010099489984331438
2021-05-19,0.0051,5.1000000000000006e-05,5.099869954423856e-05
2021-05-20,-0.0025,-2.5e-05,-2.500031250526119e-05
2021-05-21,-0.0025,-2.5e-05,-2.500031250526119e-05
2021-05-24,-0.0025,-2.5e-05,-2.500031250526119e-05
2021-05-25,0.0101,0.000101,0.00010099489984331438
2021-05-26,0.0101,0.000101,0.00010099489984331438
2021-05-27,-0.0025,-2.5e-05,-2.500031250526119e-05
2021-05-28,0.0076,7.6e-05,7.599711214628198e-05
2021-05-31,0.0076,7.6e-05,7.599711214628198e-05
2021-06-01,0.0076,7.6e-05,7.599711214628198e-05
2021-06-02,0.0152,0.000152,0.0001519884491703992
2021-06-03,0.0152,0.000152,0.0001519884491703992
2021-06-04,0.0127,0.000127,0.00012699193618271755
2021-06-07,0.0152,0.000152,0.0001519884491703992
2021-06-08,0.0203,0.00020299999999999997,0.0002029793982880044
2021-06-09,0.0203,0.00020299999999999997,0.0002029793982880044
2021-06-10,0.0177,0.000177,0.0001769843373482594
2021-06-11,0.0177,0.000177,0.0001769843373482594
2021-06-14,0.0101,0.000101,0.00010099489984331438
2021-06-15,0.0177,0.000177,0.0001769843373482594
2021-06-16,0.0253,0.00025299999999999997,0.00025296800089712694
2021-06-17,0.0279,0.000279,0.00027896108673761675
2021-06-18,0.0279,0.000279,0.00027896108673761675
2021-06-21,0.0279,0.000279,0.00027896108673761675
2021-06-22,0.038,0.00037999999999999997,0.00037992781828550236
2021-06-23,0.0355,0.00035499999999999996,0.0003549370024090941
2021-06-24,0.038,0.00037999999999999997,0.00037992781828550236
2021-06-25,0.0406,0.00040599999999999995,0.0004059176043009213
2021-06-28,0.0406,0.00040599999999999995,0.0004059176043009213
2021-06-29,0.0406,0.00040599999999999995,0.0004059176043009213
2021-06-30,0.0406,0.00040599999999999995,0.0004059176043009213
2021-07-01,0.0406,0.00040599999999999995,0.0004059176043009213
2021-07-02,0.038,0.00037999999999999997,0.00037992781828550236
2021-07-05,0.038,0.00037999999999999997,0.00037992781828550236
2021-07-06,0.0406,0.00040599999999999995,0.0004059176043009213
2021-07-07,0.0406,0.00040599999999999995,0.0004059176043009213
2021-07-08,0.0431,0.000431,0.00043090714617911006
2021-07-09,0.0431,0.000431,0.00043090714617911006
2021-07-12,0.0431,0.000431,0.00043090714617911006
2021-07-13,0.0456,0.000456,0.00045589606359547856
2021-07-14,0.0431,0.000431,0.00043090714617911006
2021-07-15,0.038,0.00037999999999999997,0.00037992781828550236
2021-07-16,0.0406,0.00040599999999999995,0.0004059176043009213
2021-07-19,0.0355,0.00035499999999999996,0.0003549370024090941
2021-07-20,0.0456,0.000456,0.00045589606359547856
2021-07-21,0.0406,0.00040599999999999995,0.0004059176043009213
2021-07-22,0.0406,0.00040599999999999995,0.0004059176043009213
2021-07-23,0.0406,0.00040599999999999995,0.0004059176043009213
2021-07-26,0.038,0.00037999999999999997,0.00037992781828550236
2021-07-27,0.0431,0.000431,0.00043090714617911006
2021-07-28,0.0406,0.00040599999999999995,0.0004059176043009213
2021-07-29,0.038,0.00037999999999999997,0.00037992781828550236
2021-07-30,0.038,0.00037999999999999997,0.00037992781828550236
2021-08-02,0.0355,0.00035499999999999996,0.0003549370024090941
