Unnamed: 0,date,C,K,expiration_date,option_id,S,TTM,r,IV,delta,vega,initial_moneyness,delta_start
62761,2022-09-29,0.87,170.0,2022-11-18,AAPL_2022-11-18_K170,142.48,0.136986301369863,0.0321573647990562,0.35116447742418566,0.1038612297830353,9.513495427721137,ATM,0.506860157442349
62762,2022-09-30,0.54,170.0,2022-11-18,AAPL_2022-11-18_K170,138.2,0.13424657534246576,0.0318997494057897,0.3597769089256701,0.07042336463472698,6.830397718021935,ATM,0.506860157442349
62763,2022-10-03,0.55,170.0,2022-11-18,AAPL_2022-11-18_K170,142.45,0.12602739726027398,0.0316478807326586,0.32819833674344284,0.07707550368443117,7.308817641388266,ATM,0.506860157442349
62764,2022-10-04,0.7,170.0,2022-11-18,AAPL_2022-11-18_K170,146.1,0.1232876712328767,0.0332858288239319,0.31078144331349494,0.0974458290101004,8.83403556692841,ATM,0.506860157442349
62765,2022-10-05,0.78,170.0,2022-11-18,AAPL_2022-11-18_K170,146.4,0.12054794520547946,0.0330081860767742,0.3200325794019884,0.10497859694630773,9.24136391797191,ATM,0.506860157442349
62766,2022-10-06,0.74,170.0,2022-11-18,AAPL_2022-11-18_K170,145.43,0.1178082191780822,0.0330807482420224,0.33046302449279497,0.0993623269222344,8.719365547225234,ATM,0.506860157442349
62767,2022-10-07,0.46,170.0,2022-11-18,AAPL_2022-11-18_K170,140.09,0.11506849315068493,0.0330188288571718,0.35564314944851416,0.06523673140671321,6.042401875958122,ATM,0.506860157442349
62768,2022-10-10,0.45,170.0,2022-11-18,AAPL_2022-11-18_K170,140.42,0.10684931506849316,0.0330188288571718,0.3640614545752163,0.06460909035091765,5.7926829038249705,ATM,0.506860157442349
62769,2022-10-11,0.38,170.0,2022-11-18,AAPL_2022-11-18_K170,138.98,0.10410958904109589,0.0336629898887475,0.37195722512130813,0.055976806281522615,5.058264650336288,ATM,0.506860157442349
62770,2022-10-12,0.36,170.0,2022-11-18,AAPL_2022-11-18_K170,138.34,0.10136986301369863,0.0355003395995465,0.37986374277741963,0.05329151677932506,4.778859045725705,ATM,0.506860157442349
62771,2022-10-13,0.5,170.0,2022-11-18,AAPL_2022-11-18_K170,142.99,0.09863013698630137,0.0362190974240674,0.3573454094686245,0.07300071630824288,6.226896175276263,ATM,0.506860157442349
62772,2022-10-14,0.3,170.0,2022-11-18,AAPL_2022-11-18_K170,138.38,0.0958904109589041,0.0364322135148013,0.3767146410586311,0.046881680517275814,4.197619868143799,ATM,0.506860157442349
62773,2022-10-17,0.31,170.0,2022-11-18,AAPL_2022-11-18_K170,142.41,0.08767123287671233,0.0369257741016697,0.34985310022332644,0.0519239511946685,4.481576129665826,ATM,0.506860157442349
62774,2022-10-18,0.32,170.0,2022-11-18,AAPL_2022-11-18_K170,143.75,0.08493150684931507,0.0384665827145428,0.3418473922394054,0.05469492908217379,4.639817782665463,ATM,0.506860157442349
62775,2022-10-19,0.37,170.0,2022-11-18,AAPL_2022-11-18_K170,143.86,0.0821917808219178,0.0389350954453499,0.3567871411699843,0.060593785842248116,4.951048851259677,ATM,0.506860157442349
62776,2022-10-20,0.3,170.0,2022-11-18,AAPL_2022-11-18_K170,143.39,0.07945205479452055,0.0390303104124451,0.35350689055361983,0.051821423782402926,4.288950312808409,ATM,0.506860157442349
62777,2022-10-21,0.4,170.0,2022-11-18,AAPL_2022-11-18_K170,147.27,0.07671232876712329,0.0386946132485307,0.33228846083370484,0.06926693457890777,5.43249217112794,ATM,0.506860157442349
62778,2022-10-24,0.44,170.0,2022-11-18,AAPL_2022-11-18_K170,149.45,0.0684931506849315,0.0392620584523988,0.3299556509133998,0.07814631258393377,5.712433608272339,ATM,0.506860157442349
62779,2022-10-25,0.63,170.0,2022-11-18,AAPL_2022-11-18_K170,152.34,0.06575342465753424,0.0398090016161473,0.3250919414726631,0.10699335755355344,7.2003594039387275,ATM,0.506860157442349
62780,2022-10-26,0.46,170.0,2022-11-18,AAPL_2022-11-18_K170,149.35,0.06301369863013699,0.0393322453948681,0.34950003195022505,0.08015733648895274,5.581875048809956,ATM,0.506860157442349
62781,2022-10-27,0.32,170.0,2022-11-18,AAPL_2022-11-18_K170,144.8,0.06027397260273973,0.0393034020421532,0.3928574887256881,0.0558356053155917,4.001953408450804,ATM,0.506860157442349
62782,2022-10-28,0.53,170.0,2022-11-18,AAPL_2022-11-18_K170,155.74,0.057534246575342465,0.0397878599874145,0.2801857194130988,0.1082399335176018,6.943352951781656,ATM,0.506860157442349
62783,2022-10-31,0.32,170.0,2022-11-18,AAPL_2022-11-18_K170,153.34,0.049315068493150684,0.0398580100364762,0.304020872092604,0.07148425249861985,4.646430661402507,ATM,0.506860157442349
62784,2022-11-01,0.19,170.0,2022-11-18,AAPL_2022-11-18_K170,150.65,0.04657534246575343,0.04060437084194,0.3196481549631056,0.04553459506391136,3.1111514489316647,ATM,0.506860157442349
62785,2022-11-02,0.09,170.0,2022-11-18,AAPL_2022-11-18_K170,145.03,0.043835616438356165,0.0402768859755846,0.3665362573867334,0.022286624369072118,1.6112191475063031,ATM,0.506860157442349
62786,2022-11-03,0.04,170.0,2022-11-18,AAPL_2022-11-18_K170,138.88,0.0410958904109589,0.0404219144989154,0.4191723230399855,0.010242488349640966,0.7662134685245929,ATM,0.506860157442349
62787,2022-11-04,0.04,170.0,2022-11-18,AAPL_2022-11-18_K170,138.38,0.038356164383561646,0.040159695248503,0.44103607695024444,0.010129027646120902,0.7304354070451297,ATM,0.506860157442349
62788,2022-11-07,0.02,170.0,2022-11-18,AAPL_2022-11-18_K170,138.92,0.030136986301369864,0.0399319985913454,0.45163198905637814,0.005857798400854966,0.40142049937995,ATM,0.506860157442349
62789,2022-11-08,0.03,170.0,2022-11-18,AAPL_2022-11-18_K170,139.5,0.0273972602739726,0.0410267735515979,0.4870676848583818,0.008233164816665119,0.519068054088555,ATM,0.506860157442349
62790,2022-11-09,0.02,170.0,2022-11-18,AAPL_2022-11-18_K170,134.87,0.024657534246575342,0.0409970192025418,0.5656778164315758,0.00538218432398282,0.3269762615099272,ATM,0.506860157442349
62791,2022-11-10,0.04,170.0,2022-11-18,AAPL_2022-11-18_K170,146.87,0.021917808219178082,0.0407560723474364,0.4319589462669753,0.012512837220298343,0.7042140253386595,ATM,0.506860157442349
62792,2022-11-11,0.04,170.0,2022-11-18,AAPL_2022-11-18_K170,149.7,0.019178082191780823,0.0407560723474364,0.4085057720392149,0.01370084236236002,0.7261781997171266,ATM,0.506860157442349
62793,2022-11-14,0.01,170.0,2022-11-18,AAPL_2022-11-18_K170,148.28,0.010958904109589041,0.040801194303932,0.4902485972734664,0.004279962074931053,0.19537279849141365,ATM,0.506860157442349
62794,2022-11-15,0.02,170.0,2022-11-18,AAPL_2022-11-18_K170,150.04,0.00821917808219178,0.0412503827489138,0.5643104861807846,0.00799650466406036,0.29804809565841184,ATM,0.506860157442349
62795,2022-11-16,0.01,170.0,2022-11-18,AAPL_2022-11-18_K170,148.79,0.005479452054794521,0.0412954824071715,0.6785212445585339,0.004350059314253066,0.14065227069493622,ATM,0.506860157442349
62796,2022-11-17,0.01,170.0,2022-11-18,AAPL_2022-11-18_K170,150.72,0.0027397260273972603,0.0412657360524173,0.8761303999376084,0.004667922520626259,0.10729478201446234,ATM,0.506860157442349
62797,2022-11-18,0.01,170.0,2022-11-18,AAPL_2022-11-18_K170,151.29,0.0,0.0414509167072289,,,,ATM,0.506860157442349
