Unnamed: 0,date,C,K,expiration_date,option_id,S,TTM,r,IV,delta,initial_moneyness,delta_start
60274,2022-09-14,13.14,145.0,2022-10-21,AAPL_2022-10-21_K145,155.31,0.10136986301369863,0.031461844676009,0.33396215932674145,0.767050231751748,ITM,0.7327685573134162
60275,2022-09-15,11.4,145.0,2022-10-21,AAPL_2022-10-21_K145,152.37,0.09863013698630137,0.0307357792352157,0.3655187571183231,0.6969667111047009,ITM,0.7327685573134162
60276,2022-09-16,10.35,145.0,2022-10-21,AAPL_2022-10-21_K145,150.7,0.0958904109589041,0.0306775936367168,0.376171775508825,0.6607463062848262,ITM,0.7327685573134162
60277,2022-09-19,12.65,145.0,2022-10-21,AAPL_2022-10-21_K145,154.48,0.08767123287671233,0.0306756540584586,0.3722020879271864,0.7434965105818223,ITM,0.7327685573134162
60278,2022-09-20,14.75,145.0,2022-10-21,AAPL_2022-10-21_K145,156.9,0.08493150684931507,0.0324129776322122,0.396038383325996,0.7778487681709081,ITM,0.7327685573134162
60279,2022-09-21,12.25,145.0,2022-10-21,AAPL_2022-10-21_K145,153.72,0.0821917808219178,0.0320111326256839,0.3956945126739007,0.7239798094903513,ITM,0.7327685573134162
60280,2022-09-22,11.65,145.0,2022-10-21,AAPL_2022-10-21_K145,152.74,0.07945205479452055,0.0316091260748283,0.40995597341597206,0.7017850473667979,ITM,0.7327685573134162
60281,2022-09-23,9.7,145.0,2022-10-21,AAPL_2022-10-21_K145,150.43,0.07671232876712329,0.0312767432112891,0.39285918165953215,0.6606835674558966,ITM,0.7327685573134162
60282,2022-09-26,10.07,145.0,2022-10-21,AAPL_2022-10-21_K145,150.77,0.0684931506849315,0.0315732766791047,0.4272886836417126,0.6642902502809198,ITM,0.7327685573134162
60283,2022-09-27,10.55,145.0,2022-10-21,AAPL_2022-10-21_K145,151.76,0.06575342465753424,0.0324381480894541,0.4226445201153212,0.6894586946967276,ITM,0.7327685573134162
60284,2022-09-28,8.88,145.0,2022-10-21,AAPL_2022-10-21_K145,149.84,0.06301369863013699,0.0323597303464799,0.40458002711031016,0.6532678215703942,ITM,0.7327685573134162
60285,2022-09-29,4.66,145.0,2022-10-21,AAPL_2022-10-21_K145,142.48,0.06027397260273973,0.0321573647990562,0.40614946021115944,0.45758040471239014,ITM,0.7327685573134162
60286,2022-09-30,2.63,145.0,2022-10-21,AAPL_2022-10-21_K145,138.2,0.057534246575342465,0.0318997494057897,0.389106252945868,0.32696743386933713,ITM,0.7327685573134162
60287,2022-10-03,3.5,145.0,2022-10-21,AAPL_2022-10-21_K145,142.45,0.049315068493150684,0.0316478807326586,0.35914237294400086,0.4352516465791074,ITM,0.7327685573134162
60288,2022-10-04,5.15,145.0,2022-10-21,AAPL_2022-10-21_K145,146.1,0.04657534246575343,0.0332858288239319,0.3559819405433791,0.5623639421275534,ITM,0.7327685573134162
60289,2022-10-05,5.1,145.0,2022-10-21,AAPL_2022-10-21_K145,146.4,0.043835616438356165,0.0330081860767742,0.34928767890948564,0.5744615936318929,ITM,0.7327685573134162
60290,2022-10-06,4.65,145.0,2022-10-21,AAPL_2022-10-21_K145,145.43,0.0410958904109589,0.0330807482420224,0.36897025013038937,0.5379072036675163,ITM,0.7327685573134162
60291,2022-10-07,2.13,145.0,2022-10-21,AAPL_2022-10-21_K145,140.09,0.038356164383561646,0.0330188288571718,0.36519465281323793,0.3342599750537649,ITM,0.7327685573134162
60292,2022-10-10,2.03,145.0,2022-10-21,AAPL_2022-10-21_K145,140.42,0.030136986301369864,0.0330188288571718,0.3896350176124989,0.3350637908484795,ITM,0.7327685573134162
60293,2022-10-11,1.39,145.0,2022-10-21,AAPL_2022-10-21_K145,138.98,0.0273972602739726,0.0336629898887475,0.38336313680293527,0.2669743241437875,ITM,0.7327685573134162
60294,2022-10-12,1.28,145.0,2022-10-21,AAPL_2022-10-21_K145,138.34,0.024657534246575342,0.0355003395995465,0.4121295391938969,0.24804019711071063,ITM,0.7327685573134162
60295,2022-10-13,2.28,145.0,2022-10-21,AAPL_2022-10-21_K145,142.99,0.021917808219178082,0.0362190974240674,0.3690336024391827,0.41540885660186705,ITM,0.7327685573134162
60296,2022-10-14,0.67,145.0,2022-10-21,AAPL_2022-10-21_K145,138.38,0.019178082191780823,0.0364322135148013,0.35821925030822466,0.183235986369977,ITM,0.7327685573134162
60297,2022-10-17,1.21,145.0,2022-10-21,AAPL_2022-10-21_K145,142.41,0.010958904109589041,0.0369257741016697,0.3755214194208225,0.3341321139634999,ITM,0.7327685573134162
60298,2022-10-18,1.59,145.0,2022-10-21,AAPL_2022-10-21_K145,143.75,0.00821917808219178,0.0384665827145428,0.40959781672083373,0.4183657316953151,ITM,0.7327685573134162
60299,2022-10-19,1.25,145.0,2022-10-21,AAPL_2022-10-21_K145,143.86,0.005479452054794521,0.0389350954453499,0.4100932336802234,0.40601465169348605,ITM,0.7327685573134162
60300,2022-10-20,0.51,145.0,2022-10-21,AAPL_2022-10-21_K145,143.39,0.0027397260273972603,0.0390303104124451,0.37640171517761273,0.2906626069245952,ITM,0.7327685573134162
60301,2022-10-21,2.36,145.0,2022-10-21,AAPL_2022-10-21_K145,147.27,0.0,0.0386946132485307,,,ITM,0.7327685573134162
60396,2022-09-06,7.15,155.0,2022-10-21,AAPL_2022-10-21_K155,154.53,0.1232876712328767,0.0287011530121659,0.3287832856289651,0.5247452747801251,ATM,0.5247452747801251
60397,2022-09-07,7.4,155.0,2022-10-21,AAPL_2022-10-21_K155,155.96,0.12054794520547946,0.0294141315830746,0.3080027824582109,0.5573938768568459,ATM,0.5247452747801251
60398,2022-09-08,6.2,155.0,2022-10-21,AAPL_2022-10-21_K155,154.46,0.1178082191780822,0.0296364691283063,0.2932604153315569,0.5200753694957002,ATM,0.5247452747801251
60399,2022-09-09,7.63,155.0,2022-10-21,AAPL_2022-10-21_K155,157.37,0.11506849315068493,0.0296791833449632,0.28786409958157877,0.5945240802145082,ATM,0.5247452747801251
60400,2022-09-12,11.79,155.0,2022-10-21,AAPL_2022-10-21_K155,163.43,0.10684931506849316,0.0301760874100023,0.30662884108494437,0.729288914123823,ATM,0.5247452747801251
60401,2022-09-13,6.19,155.0,2022-10-21,AAPL_2022-10-21_K155,153.84,0.10410958904109589,0.0316391610655949,0.3282034231409434,0.5052330384516276,ATM,0.5247452747801251
60402,2022-09-14,6.85,155.0,2022-10-21,AAPL_2022-10-21_K155,155.31,0.10136986301369863,0.031461844676009,0.3274632661906402,0.5405753703562521,ATM,0.5247452747801251
60403,2022-09-15,5.25,155.0,2022-10-21,AAPL_2022-10-21_K155,152.37,0.09863013698630137,0.0307357792352157,0.3263265218262666,0.4656684008073246,ATM,0.5247452747801251
60404,2022-09-16,4.5,155.0,2022-10-21,AAPL_2022-10-21_K155,150.7,0.0958904109589041,0.0306775936367168,0.3308294314823315,0.42281877287981673,ATM,0.5247452747801251
